"","sublabel","roi","network","PC1","PC2","cluster","category","diff"
"28","sub-028","Dorsal_ACC","Limbic",-0.0658291728738405,-0.0455212913884729,-0.0664586923389693,-0.0554280881542191,-0.0110306041847502
"29","sub-029","Dorsal_ACC","Limbic",-0.0239722814700093,0.06220648784827,0.0146966336745314,0.00706703735553203,0.00762959631899937
"30","sub-030","Dorsal_ACC","Limbic",-0.0262868664975547,-0.00581512296966025,-0.0452302103164128,-0.0183344752452657,-0.0268957350711471
"31","sub-031","Dorsal_ACC","Limbic",0.00554837983110227,-0.0248378364022411,-0.0187705536646172,-0.0209128164911974,0.0021422628265802
"32","sub-032","Dorsal_ACC","Limbic",0.0625635840570627,-0.027335841862698,0.0845958175758429,0.0280255932493552,0.0565702243264877
"33","sub-033","Dorsal_ACC","Limbic",-0.0144618539271851,-0.0170183025214284,-0.0224460122385563,-0.00157966571928844,-0.0208663465192679
"34","sub-034","Dorsal_ACC","Limbic",0.0322721352858498,0.0396118980057269,0.102703779211706,0.0518636010061651,0.0508401782055409
"35","sub-035","Dorsal_ACC","Limbic",0.105349033284382,-0.0177705506309498,0.0651092738033535,0.0955476253041293,-0.0304383515007758
"36","sub-036","Dorsal_ACC","Limbic",-0.0401213164650374,0.0216162294266641,0.0288953422781966,-0.0209128164911974,0.049808158769394
"37","sub-037","Dorsal_ACC","Limbic",-0.0211798865852457,-0.0432064969635938,-0.0424957760828033,-0.033018666157127,-0.0094771099256763
"38","sub-038","Dorsal_ACC","Limbic",-0.00884074258165408,0.184310658358832,0.143331675224274,0.128510120982374,0.0148215542419
"39","sub-039","Dorsal_ACC","Limbic",0.0675995024917193,-0.0230501988185869,0.0548484385207284,0.0500714381167961,0.00477700040393229
"40","sub-040","Dorsal_ACC","Limbic",-0.0394758226436339,0.000754924120113834,-0.0188125558520573,-0.0174612230835448,-0.0013513327685125
"41","sub-041","Dorsal_ACC","Limbic",-0.0305642706041559,0.00048838145384414,0.0198626324940264,0.0128874493674938,0.0069751831265326
"42","sub-042","Dorsal_ACC","Limbic",-0.0419957422916338,0.0131249033262369,0.0158305566264097,0.0343920392384033,-0.0185614826119936
"43","sub-043","Dorsal_ACC","Limbic",0.050471114521703,-0.0625795313850712,-0.00379987427881543,0.00785691357879386,-0.0116567878576093
"44","sub-044","Dorsal_ACC","Limbic",-0.0180318018917113,0.00136100440140333,0.0399722474573151,0.016546416022272,0.0234258314350431
"45","sub-045","Dorsal_ACC","Limbic",0.0371620400503585,-0.0157019381587159,0.0618210479649751,0.00230714552771,0.0595139024372651
"46","sub-046","Dorsal_ACC","Limbic",0.0226881086335093,-0.0499337498891774,-0.0348846455925856,-0.0312085001125616,-0.003676145480024
"47","sub-047","Dorsal_ACC","Limbic",0.0348795509070351,0.0724656984940226,0.0308494978679301,0.0606418853235427,-0.0297923874556126
"48","sub-048","Dorsal_ACC","Limbic",0.0851798694376438,0.0477781789574644,0.053606165392932,0.0339550430736443,0.0196511223192877
"49","sub-049","Dorsal_ACC","Limbic",-0.0212137835264003,0.00458901304896749,-0.0392783676396983,0.0129498149485093,-0.0522281825882076
"50","sub-050","Dorsal_ACC","Limbic",-0.0226017283670544,-0.0307737086661041,-0.0224460122385563,-0.00257735289456866,-0.0198686593439876
"51","sub-051","Dorsal_ACC","Limbic",0.00357681582841529,-0.047740804753904,-0.0133737711206871,-0.0295233571219096,0.0161495860012225
"52","sub-052","Dorsal_ACC","Limbic",-0.00449192505487629,-0.0213214762567272,-0.0108331623876818,0.025259216086059,-0.0360923784737408
"53","sub-053","Dorsal_ACC","Limbic",-0.0303325468437406,-0.0162346311988288,0.0214168269860245,0.0152782062579875,0.006138620728037
"54","sub-054","Dorsal_ACC","Limbic",0.0150792981363789,0.00349369420672534,0.0357254399565675,-0.00837657427415365,0.0441020142307211
"55","sub-055","Dorsal_ACC","Limbic",-0.0334958870623384,0.0787095777032667,0.00323303790791738,0.00717096791249475,-0.00393793000457737
"56","sub-056","Dorsal_ACC","Limbic",-0.0105078697982553,-0.0143849081909703,-0.0475865712095085,-0.0142387268876556,-0.0333478443218529
"57","sub-057","Dorsal_ACC","Limbic",0.00252023388381674,-0.0131094475334608,0.0355993176122242,0.0312501107837464,0.0043492068284778
"58","sub-058","Dorsal_ACC","Limbic",-0.00451808073444435,0.0522166335041285,0.0453985048548065,-0.0357239187661138,0.0811224236209203
"59","sub-059","Dorsal_ACC","Limbic",-0.00584550236773305,-0.0397900334941041,-0.0337916864438099,-0.0107878635544415,-0.0230038228893684
"60","sub-060","Dorsal_ACC","Limbic",-0.00095307951144558,0.0135542121025765,-0.0202406706861814,0.00239028621825965,-0.0226309569044411
"61","sub-061","Dorsal_ACC","Limbic",0.0846697096062695,0.0211322100917137,0.120218807417437,0.0621649228689973,0.0580538845484397
"62","sub-062","Dorsal_ACC","Limbic",-0.0530029805306781,0.0129206185686326,-0.010455233336399,0.0142803054567745,-0.0247355387931735
"63","sub-063","Dorsal_ACC","Limbic",-0.0442653318356082,-0.0269896187066965,-0.054511534339852,-0.00702546517561947,-0.0474860691642325
"64","sub-064","Dorsal_ACC","Limbic",0.0282281569125751,-0.0188411109003852,0.0501749699198263,0.00496766971689846,0.0452073002029278
"65","sub-001","Left_Amyg","Limbic",-0.0893703976700563,0.044673726795181,0.0183925369398219,0.0135318986271098,0.0048606383127121
