"","subj","roi","PC1","PC2","beh_sim","cluster","category","diff","network"
"o_s323.9","o_s323","Right_Amyg",0.0104328994838732,-0.0512557799017904,-0.032566895664285,-0.0553959343791508,-0.0051963112604496,-0.0501996231187012,"Limbic"
"o_s324.9","o_s324","Right_Amyg",-0.0226048973981003,0.0153674074713927,-0.0306401348164259,-0.0148016249082903,0.0300642484915668,-0.0448658733998571,"Limbic"
"o_s325.9","o_s325","Right_Amyg",0.0331872493963349,0.00722924107911262,0.0184615766686371,0.0196526137358616,-0.0204137620683043,0.0400663758041659,"Limbic"
"o_s326.9","o_s326","Right_Amyg",-0.00751465965518638,-0.0589579757615226,-0.0593370800562776,-0.071099193043452,-0.00889623949358892,-0.0622029535498631,"Limbic"
"o_s327.9","o_s327","Right_Amyg",-0.00337318713737907,0.00367020773259013,-0.0307203808548271,-0.00329601961764822,-0.0140724131020192,0.010776393484371,"Limbic"
"o_s328.9","o_s328","Right_Amyg",-0.0101814954011694,0.0244248144772402,-0.0266672874182385,0.0246515721100048,0.0428225908197222,-0.0181710187097174,"Limbic"
"o_s329.9","o_s329","Right_Amyg",-0.053254586862277,0.0194434278927322,-0.0225965353860027,-0.0162505382650299,-0.0333099771407619,0.017059438875732,"Limbic"
"o_s330.9","o_s330","Right_Amyg",0.0109959477089024,-0.00231593458175884,-0.0117906806279169,-0.00478659548240426,-0.00424017723624103,-0.00054641824616323,"Limbic"
"o_s331.9","o_s331","Right_Amyg",-0.00666507847265923,0.00190229745692716,0.0104944729303959,0.00661310544581258,0.0449467531268165,-0.0383336476810039,"Limbic"
"o_s332.9","o_s332","Right_Amyg",-0.00978442546798386,-0.0339092716739533,-0.0355327328094896,0.0326777918710016,-0.0160474421218,0.0487252339928016,"Limbic"
"o_s333.9","o_s333","Right_Amyg",0.0275796283854059,-0.0270462895509566,-0.0124561388398623,0.0294416424880516,-0.0217861869435367,0.0512278294315883,"Limbic"
"o_s334.9","o_s334","Right_Amyg",0.141192603852005,-0.020033948439175,0.0834782156009618,0.0763128648529406,0.0838558597212057,-0.0075429948682651,"Limbic"
"o_s335.9","o_s335","Right_Amyg",0.022222360199653,-0.0264653735412873,-0.0223832232931436,-0.00392583823557333,-0.0420521578048356,0.0381263195692623,"Limbic"
"o_s337.9","o_s337","Right_Amyg",-0.0451990889867798,0.000182246198993107,-0.0252805365159278,-0.0505748629026767,-0.0249264457145564,-0.0256484171881203,"Limbic"
"o_s338.9","o_s338","Right_Amyg",0.0136995561353056,0.0615134907549176,0.0367660806594085,0.0335184593676596,0.113724752134801,-0.0802062927671414,"Limbic"
"o_s339.9","o_s339","Right_Amyg",-0.0296885024727705,-0.0237067398370703,-0.0364271398929426,-0.0304292299833484,-0.03493310031978,0.0045038703364316,"Limbic"
"o_s340.9","o_s340","Right_Amyg",-0.0424927601916544,-0.022865623786009,-0.0415373166850288,-0.0526798322169651,-0.0346001372549825,-0.0180796949619826,"Limbic"
"o_s342.9","o_s342","Right_Amyg",-0.0625834339082467,-0.0497369784087577,-0.0342002493064228,-0.0654676898066025,-0.0432598861551355,-0.022207803651467,"Limbic"
"TD102.9","TD102","Right_Amyg",0.14759042491399,-0.0204914914224993,0.085082095655722,0.0954108269258681,0.0350163422928826,0.0603944846329855,"Limbic"
"TD308.9","TD308","Right_Amyg",-0.0202622387624555,-0.0569938792451469,-0.049646668302391,-0.0306183491927453,-0.00725411246949433,-0.023364236723251,"Limbic"
"TD314.9","TD314","Right_Amyg",0.0516960149331399,0.0473412890765795,0.0441780245246579,0.0521114453123932,0.00573673892991831,0.0463747063824749,"Limbic"
"TD316.9","TD316","Right_Amyg",-0.00985166747847556,0.00871993967355535,-0.00557607444838239,-0.0110431243019497,-0.00201615335442106,-0.00902697094752864,"Limbic"
"TD317.9","TD317","Right_Amyg",-0.0178637789337093,0.0371523324579154,0.00345975345420414,-0.00631918164174365,-0.0276303712422492,0.0213111896005055,"Limbic"
"TD318.9","TD318","Right_Amyg",-0.0404775083545718,0.0101077734872019,-0.0251579351256863,0.0255968842132218,0.0310628636132532,-0.0054659794000314,"Limbic"
"TD323.9","TD323","Right_Amyg",0.0639894788389671,-0.00259246095925328,-0.00416140597507169,0.0254708399936696,0.024905647750361,0.000565192243308602,"Limbic"
"TD329.9","TD329","Right_Amyg",-0.00942844263648056,-0.0254619233188446,0.00431642275810789,-0.0582392421598478,-0.0303138965745663,-0.0279253455852815,"Limbic"
"TD330.9","TD330","Right_Amyg",0.0457633341179279,0.0328296142736466,0.0107747776169026,0.100222144038353,0.0188958663159237,0.0813262777224293,"Limbic"
"TD355.9","TD355","Right_Amyg",0.039128262699795,0.0107754024778041,0.0376545849788498,-0.00921648625358062,-0.018625565446752,0.00940907919317138,"Limbic"
"TD358.9","TD358","Right_Amyg",-0.0215299012668907,0.016398132401333,-0.000774422250276409,-0.0071169775106836,0.00201615335442103,-0.00913313086510463,"Limbic"
